	VOL	SA	L	W	SAVOL	LW
TAPER	411.553	289.627	145.4	75.03	0.703741681	1.93789151
TAPER	387.817	298.869	171.5	71.34	0.770644402	2.403980936
TAPER	329.953	264.054	143.4	73.96	0.800277615	1.938885884
TAPER	259.488	213.182	127.1	69.39	0.821548588	1.831676034
FRY	445.295	306.243	148.4	84.02	0.687730606	1.766246132
TAPER	557.484	358.955	173.8	84.78	0.64388395	2.050011795
TAPER	339.557	262.542	147.1	71.68	0.773189774	2.052176339
TAPER	299.285	256.527	185.1	65.59	0.857132833	2.822076536
TAPER	316.337	249.423	252.5	67.02	0.78847242	3.76753208
TAPER	359.825	266.833	141.1	69.94	0.74156326	2.017443523
TAPER	495.018	356.288	199.9	74.7	0.719747565	2.676037483
TAPER	516.938	360.252	185.9	77.86	0.696895953	2.387618803
TAPER	526.371	362.591	173.5	77.8	0.68885064	2.230077121
TAPER	487.376	337.325	173	80.66	0.692124766	2.144805356
TAPER	500.076	352.528	179.7	74.36	0.704948848	2.41662184
TAPER	389.914	294.886	169.5	71.15	0.756284719	2.382290935
TAPER	366.878	299.146	183.3	65	0.81538277	2.82
TAPER	538.405	376.438	199	73.07	0.699172556	2.723415903
TAPER	600.703	395.952	195.7	78.38	0.659147699	2.496810411
TAPER	435.394	321.222	168.8	76.23	0.737773143	2.214351305
TAPER	627.557	399.815	184.1	87.07	0.637097507	2.11439072
TAPER	380.683	321.417	210.3	66.37	0.844316662	3.168600271
TAPER	419.224	318.531	192.7	73.55	0.759810984	2.619986404
TAPER	465.633	339.566	188.5	73.8	0.729256732	2.554200542
TAPER	442.074	352.978	221.9	66.24	0.798459082	3.349939614
TAPER	627.722	397.918	185.2	84.18	0.633908004	2.200047517
TAPER	284.771	244.917	149.3	64.55	0.860048952	2.312935709
TAPER	639.257	446.835	232.9	73.19	0.698991173	3.182128706
TAPER	502.469	362.028	190.7	75.1	0.72049818	2.539280959
TAPER	429.853	311.559	167.1	74.22	0.724803596	2.251414713
TAPER	517.141	350.338	165.9	77.15	0.677451604	2.150356448
TAPER	449.987	318.091	169.1	81.22	0.70688931	2.081999508
TAPER	433.007	322.557	192.1	77.87	0.744923292	2.466932066
TAPER	478.722	352.811	193.7	76.44	0.73698514	2.534013605
TAPER	566.136	387.082	204.8	77.64	0.683726172	2.637815559
FRY	528.905	342.038	157	86	0.646690805	1.825581395
TAPER	427.294	332.772	188.3	67.79	0.778789311	2.777695825
TAPER	447.064	311.889	168.7	75.43	0.697638369	2.236510672
TAPER	541.619	370.678	200.5	76.44	0.684388842	2.622972266
FRY	456.341	307.112	142.7	85.52	0.672987963	1.668615529
FRY	432.877	290.841	136.9	84.92	0.671879079	1.612105511
TAPER	420.198	309.367	196.6	80.05	0.73624101	2.455965022
TAPER	494.096	337.812	179.4	86.95	0.683697095	2.063254744
TAPER	397.304	291.779	166.9	75	0.734397338	2.225333333
TAPER	425.801	311.392	180.7	75.5	0.731308757	2.393377483
TAPER	460.338	336.234	185.7	75.91	0.730406788	2.446318008
TAPER	344.764	264.153	145	64.29	0.766184985	2.255405195
TAPER	671.297	430.334	218.3	91.9	0.641048597	2.375408052
TAPER	391.625	300.614	176	72.54	0.767606767	2.426247588
TAPER	487.873	370.136	228.5	76.97	0.758672851	2.9686891
TAPER	355.211	272.524	153.5	71.93	0.767217231	2.134019185
FRY	605.909	378.151	175.8	84.77	0.62410527	2.07384688
TAPER	511.494	370.376	218.7	71.58	0.724106246	3.055322716
TAPER	278.133	235.917	149.3	63.29	0.848216501	2.358982462
TAPER	333.495	260.225	151	68.9	0.780296556	2.191582003
TAPER	282.069	220.696	121.7	70.76	0.782418486	1.719898248
TAPER	318.134	260.199	164.1	64.51	0.817891203	2.54379166
TAPER	496.216	343.279	173.5	76.96	0.691793493	2.254417879
TAPER	510.267	347.709	161.9	82.48	0.681425607	1.962900097
